Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price,Block
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۷۸۰٬۰۰۰٬۰۰۰ تومان
۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۰۵٬۵۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی و قسطی,۸۰۹٬۰۰۰٬۰۰۰ تومان
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۴۷۰٬۰۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,2016,نارنجی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱ ماه,اتوماتیک,نقدی و قسطی,۷۹۲٬۰۰۰٬۰۰۰ تومان
۵۶٬۰۰۰,1395,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۱۵۸٬۰۰۰,1395,قهوه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی و قسطی,۷۱۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۳۱۵٬۰۰۰٬۰۰۰ تومان
۱۵۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۹۸٬۰۰۰٬۰۰۰ تومان
۷۱٬۵۰۰,2016,بژ,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,اتوماتیک,نقدی و قسطی,۴۵۶٬۰۰۰٬۰۰۰ تومان
۱۰۵,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,نقدی و قسطی,۴۴۲٬۰۰۰٬۰۰۰ تومان
۲۱۵٬۰۰۰,2013,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,اتوماتیک,نقدی,توافقی
۹۳٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۲۵۸٬۰۰۰٬۰۰۰ تومان
۶۰٬۷۴۳,1397,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی و قسطی,۲۱۸٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۹۰٬۰۰۰٬۰۰۰ تومان
۵۵٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۲۹۵٬۰۰۰٬۰۰۰ تومان
